reading,time_s,time_hours,reservoir_measured_C,cold_bath_measured_C,reservoir_model_C,phase
2,0,0.0000,19.46,3.81,19.46,both_loops
4,60,0.0167,19.53,3.81,19.24,both_loops
5,90,0.0250,19.50,3.81,19.13,both_loops
6,120,0.0333,19.53,3.81,19.02,both_loops
7,150,0.0417,20.06,3.81,18.91,both_loops
8,180,0.0500,20.16,3.81,18.81,both_loops
9,210,0.0583,17.41,3.81,18.70,both_loops
10,240,0.0667,16.03,3.81,18.60,both_loops
11,270,0.0750,15.09,3.81,18.50,both_loops
12,300,0.0833,14.29,3.81,18.40,both_loops
13,330,0.0917,13.59,3.87,18.30,both_loops
14,360,0.1000,13.04,3.94,18.21,both_loops
15,390,0.1083,12.51,4.00,18.11,both_loops
16,420,0.1167,12.04,4.06,18.02,both_loops
17,450,0.1250,11.66,4.06,17.93,both_loops
18,480,0.1333,11.26,4.06,17.84,both_loops
19,510,0.1417,10.97,4.06,17.75,both_loops
20,540,0.1500,10.66,4.00,17.67,both_loops
21,570,0.1583,10.41,4.00,17.58,both_loops
22,600,0.1667,10.19,3.94,17.50,both_loops
23,630,0.1750,10.04,3.94,17.42,both_loops
24,660,0.1833,9.91,3.94,17.34,both_loops
25,690,0.1917,9.79,3.87,17.26,both_loops
26,720,0.2000,9.69,3.94,17.18,both_loops
27,750,0.2083,9.59,3.94,17.10,both_loops
28,780,0.2167,9.50,3.94,17.03,both_loops
29,810,0.2250,9.47,3.94,16.95,both_loops
30,840,0.2333,9.41,3.94,16.88,both_loops
31,870,0.2417,9.34,4.00,16.81,both_loops
32,900,0.2500,9.29,4.00,16.74,both_loops
33,930,0.2583,9.22,4.06,16.67,both_loops
34,960,0.2667,9.22,4.06,16.60,both_loops
35,990,0.2750,9.19,4.12,16.53,both_loops
36,1020,0.2833,9.16,4.19,16.46,both_loops
37,1050,0.2917,9.16,4.25,16.40,both_loops
38,1080,0.3000,9.22,4.31,16.33,both_loops
39,1110,0.3083,9.25,4.37,16.27,both_loops
40,1140,0.3167,9.29,4.50,16.21,both_loops
41,1170,0.3250,9.34,4.62,16.15,both_loops
42,1200,0.3333,9.41,4.69,16.09,both_loops
43,1230,0.3417,9.38,4.81,16.03,both_loops
44,1260,0.3500,9.44,4.87,15.97,both_loops
45,1290,0.3583,9.47,4.94,15.91,both_loops
46,1320,0.3667,9.50,5.00,15.86,both_loops
47,1350,0.3750,9.57,5.06,15.80,both_loops
48,1380,0.3833,9.59,5.06,15.75,both_loops
49,1410,0.3917,9.62,5.19,15.70,both_loops
50,1440,0.4000,9.66,5.19,15.64,both_loops
51,1470,0.4083,9.69,5.25,15.59,both_loops
52,1500,0.4167,9.75,5.31,15.54,both_loops
53,1530,0.4250,9.82,5.37,15.49,both_loops
54,1560,0.4333,9.88,5.44,15.44,both_loops
55,1590,0.4417,9.94,5.50,15.39,both_loops
56,1620,0.4500,10.00,5.62,15.35,both_loops
57,1650,0.4583,10.07,5.62,15.30,both_loops
58,1680,0.4667,10.10,5.75,15.25,both_loops
59,1710,0.4750,10.19,5.81,15.21,both_loops
60,1740,0.4833,10.25,5.81,15.16,both_loops
61,1770,0.4917,10.29,5.87,15.12,both_loops
62,1800,0.5000,10.38,6.00,15.08,both_loops
63,1830,0.5083,10.38,6.06,15.03,both_loops
64,1860,0.5167,10.44,6.12,14.99,both_loops
65,1890,0.5250,10.50,6.19,14.95,both_loops
66,1920,0.5333,10.50,6.25,14.91,both_loops
67,1950,0.5417,10.59,6.31,14.87,both_loops
68,1980,0.5500,10.62,6.37,14.83,both_loops
69,2010,0.5583,10.69,6.44,14.79,both_loops
70,2040,0.5667,10.69,6.50,14.76,both_loops
71,2070,0.5750,10.75,6.56,14.72,both_loops
72,2100,0.5833,10.82,6.69,14.68,both_loops
73,2130,0.5917,10.82,6.69,14.65,both_loops
74,2160,0.6000,10.88,6.81,14.61,both_loops
75,2190,0.6083,10.94,6.87,14.58,both_loops
76,2220,0.6167,11.00,6.94,14.54,both_loops
77,2250,0.6250,11.00,7.00,14.51,both_loops
78,2280,0.6333,11.07,7.00,14.48,both_loops
79,2310,0.6417,11.09,7.12,14.44,both_loops
80,2340,0.6500,11.16,7.19,10.96,mattress_only
81,2370,0.6583,11.19,7.25,11.24,mattress_only
82,2400,0.6667,11.44,7.31,11.52,mattress_only
83,2430,0.6750,11.75,7.37,11.79,mattress_only
84,2460,0.6833,12.07,7.44,12.06,mattress_only
85,2490,0.6917,12.32,7.50,12.32,mattress_only
86,2520,0.7000,12.57,7.56,12.58,mattress_only
87,2550,0.7083,12.82,7.56,12.83,mattress_only
88,2580,0.7167,13.07,7.62,13.08,mattress_only
89,2610,0.7250,13.34,7.62,13.33,mattress_only
90,2640,0.7333,13.57,7.69,13.57,mattress_only
91,2670,0.7417,13.82,7.69,13.81,mattress_only
92,2700,0.7500,14.04,7.75,14.04,mattress_only
93,2730,0.7583,14.32,7.75,14.27,mattress_only
94,2760,0.7667,14.50,7.81,14.50,mattress_only
95,2790,0.7750,14.75,7.81,14.72,mattress_only
96,2820,0.7833,14.94,7.81,14.94,mattress_only
97,2850,0.7917,15.16,7.87,15.16,mattress_only
98,2880,0.8000,15.38,7.87,15.37,mattress_only
99,2910,0.8083,15.57,7.87,15.58,mattress_only
100,2940,0.8167,15.75,7.94,15.78,mattress_only
101,2970,0.8250,15.97,7.94,15.99,mattress_only
102,3000,0.8333,16.19,7.94,16.18,mattress_only
103,3030,0.8417,16.41,8.00,16.38,mattress_only
104,3060,0.8500,16.56,8.06,16.57,mattress_only
105,3090,0.8583,16.75,8.06,16.76,mattress_only
106,3120,0.8667,16.94,8.06,16.95,mattress_only
107,3150,0.8750,17.12,8.13,17.13,mattress_only
108,3180,0.8833,17.28,8.13,17.31,mattress_only
109,3210,0.8917,17.44,8.13,17.48,mattress_only
110,3240,0.9000,17.62,8.19,17.66,mattress_only
111,3270,0.9083,17.81,8.19,17.83,mattress_only
112,3300,0.9167,17.96,8.19,18.00,mattress_only
113,3330,0.9250,18.12,8.19,18.16,mattress_only
114,3360,0.9333,18.28,8.25,18.33,mattress_only
115,3390,0.9417,18.46,8.25,18.48,mattress_only
116,3420,0.9500,18.66,8.25,18.64,mattress_only
117,3450,0.9583,18.81,8.31,18.80,mattress_only
118,3480,0.9667,18.94,8.31,18.95,mattress_only
119,3510,0.9750,19.09,8.31,19.10,mattress_only
120,3540,0.9833,19.25,8.38,19.25,mattress_only
121,3570,0.9917,19.41,8.38,19.39,mattress_only
122,3600,1.0000,19.53,8.38,19.53,mattress_only
123,3630,1.0083,19.69,8.38,19.67,mattress_only
124,3660,1.0167,19.84,8.38,19.81,mattress_only
125,3690,1.0250,19.96,8.44,19.95,mattress_only
126,3720,1.0333,20.12,8.44,20.08,mattress_only
127,3750,1.0417,20.28,8.44,20.21,mattress_only
128,3780,1.0500,20.38,8.44,20.34,mattress_only
129,3810,1.0583,20.56,8.50,20.47,mattress_only
130,3840,1.0667,20.71,8.50,20.59,mattress_only
131,3870,1.0750,20.81,8.50,20.71,mattress_only
132,3900,1.0833,20.94,8.56,20.83,mattress_only
133,3930,1.0917,21.03,8.56,20.95,mattress_only
134,3960,1.1000,21.09,8.56,21.07,mattress_only
135,3990,1.1083,21.19,8.56,21.18,mattress_only
136,4020,1.1167,21.25,8.63,21.30,mattress_only
137,4050,1.1250,21.34,8.63,21.41,mattress_only
138,4080,1.1333,21.44,8.63,21.52,mattress_only
139,4110,1.1417,21.50,8.63,21.62,mattress_only
140,4140,1.1500,21.56,8.69,21.73,mattress_only
