measurement,timestamp,time_s,time_hours,phase,cooling_bath,ambient_air,mattress_reservoir
2,2026-04-12 16:30:47+00:00,0.0,0.0,precool,24.8,25.2,25.4
3,2026-04-12 16:31:17+00:00,30.0,0.008333333333333333,precool,24.7,25.2,25.4
4,2026-04-12 16:31:47+00:00,60.0,0.016666666666666666,precool,24.7,25.2,25.4
5,2026-04-12 16:32:17+00:00,90.0,0.025,precool,24.7,25.2,25.4
6,2026-04-12 16:32:47+00:00,120.0,0.03333333333333333,precool,24.7,25.2,25.4
7,2026-04-12 16:33:17+00:00,150.0,0.041666666666666664,precool,24.7,25.2,25.4
8,2026-04-12 16:33:47+00:00,180.0,0.05,precool,24.5,25.3,25.4
9,2026-04-12 16:34:17+00:00,210.0,0.058333333333333334,precool,20.8,25.3,25.4
10,2026-04-12 16:34:47+00:00,240.0,0.06666666666666667,precool,19.1,25.4,25.4
11,2026-04-12 16:35:17+00:00,270.0,0.075,precool,17.1,25.4,25.4
12,2026-04-12 16:35:47+00:00,300.0,0.08333333333333333,precool,15.6,25.4,25.4
13,2026-04-12 16:36:17+00:00,330.0,0.09166666666666666,precool,14.5,25.4,25.4
14,2026-04-12 16:36:47+00:00,360.0,0.1,precool,13.4,25.5,25.4
15,2026-04-12 16:37:17+00:00,390.0,0.10833333333333334,precool,12.6,25.5,25.4
16,2026-04-12 16:37:47+00:00,420.0,0.11666666666666667,precool,11.9,25.5,25.4
17,2026-04-12 16:38:17+00:00,450.0,0.125,precool,11.4,25.6,25.4
18,2026-04-12 16:38:47+00:00,480.0,0.13333333333333333,precool,10.9,25.6,25.4
19,2026-04-12 16:39:17+00:00,510.0,0.14166666666666666,precool,10.6,25.6,25.4
20,2026-04-12 16:39:47+00:00,540.0,0.15,precool,10.2,25.6,25.4
21,2026-04-12 16:40:17+00:00,570.0,0.15833333333333333,precool,9.9,25.7,25.4
22,2026-04-12 16:40:47+00:00,600.0,0.16666666666666666,precool,9.6,25.7,25.4
23,2026-04-12 16:41:17+00:00,630.0,0.175,precool,9.3,25.7,25.4
24,2026-04-12 16:41:47+00:00,660.0,0.18333333333333332,precool,9.0,25.7,25.4
25,2026-04-12 16:42:17+00:00,690.0,0.19166666666666668,precool,8.8,25.7,25.4
26,2026-04-12 16:42:47+00:00,720.0,0.2,precool,8.5,25.7,25.4
27,2026-04-12 16:43:17+00:00,750.0,0.20833333333333334,precool,8.2,25.7,25.4
28,2026-04-12 16:43:47+00:00,780.0,0.21666666666666667,precool,8.1,25.7,25.4
29,2026-04-12 16:44:17+00:00,810.0,0.225,precool,7.9,25.7,25.4
30,2026-04-12 16:44:47+00:00,840.0,0.23333333333333334,precool,7.8,25.7,25.4
31,2026-04-12 16:45:17+00:00,870.0,0.24166666666666667,precool,7.6,25.8,25.4
32,2026-04-12 16:45:47+00:00,900.0,0.25,precool,7.4,25.8,25.4
33,2026-04-12 16:46:17+00:00,930.0,0.25833333333333336,precool,7.2,25.8,25.4
34,2026-04-12 16:46:47+00:00,960.0,0.26666666666666666,precool,7.1,25.8,25.4
35,2026-04-12 16:47:17+00:00,990.0,0.275,precool,6.9,25.8,25.4
36,2026-04-12 16:47:47+00:00,1020.0,0.2833333333333333,precool,6.8,25.9,25.9
37,2026-04-12 16:48:17+00:00,1050.0,0.2916666666666667,precool,6.6,25.9,25.8
38,2026-04-12 16:48:47+00:00,1080.0,0.3,precool,6.5,25.9,25.8
39,2026-04-12 16:49:17+00:00,1110.0,0.30833333333333335,precool,6.4,25.9,25.8
40,2026-04-12 16:49:47+00:00,1140.0,0.31666666666666665,precool,6.3,25.9,25.8
