measurement,T_bath,T_amb,T_res,time_hours
2,11.2,26.1,25.4,0.0
3,11.2,26.1,25.4,0.008333333333333333
4,11.2,26.1,25.4,0.016666666666666666
5,11.2,26.1,25.4,0.025
6,11.2,26.1,25.4,0.03333333333333333
7,11.3,26.1,25.4,0.041666666666666664
8,11.3,26.1,25.5,0.05
9,11.3,26.1,25.5,0.058333333333333334
10,11.4,26.0,25.5,0.06666666666666667
11,11.4,26.0,25.5,0.075
12,11.4,26.0,25.5,0.08333333333333333
13,11.4,26.1,25.5,0.09166666666666666
14,11.4,26.1,25.5,0.1
15,11.4,26.1,25.5,0.10833333333333334
16,11.4,26.1,25.6,0.11666666666666667
17,11.4,26.0,24.8,0.125
18,11.4,26.0,24.6,0.13333333333333333
19,11.4,26.0,24.6,0.14166666666666666
20,11.5,25.9,24.7,0.15
21,11.5,25.9,24.8,0.15833333333333333
22,11.5,25.9,24.9,0.16666666666666666
23,11.5,25.9,24.9,0.175
24,11.6,25.9,24.9,0.18333333333333332
25,11.6,25.9,25.0,0.19166666666666668
26,11.6,25.8,22.4,0.2
27,11.6,25.8,22.1,0.20833333333333334
28,11.6,25.8,22.1,0.21666666666666667
29,11.6,25.8,22.0,0.225
30,11.7,25.8,21.9,0.23333333333333334
31,11.7,25.7,21.9,0.24166666666666667
32,11.8,25.7,21.9,0.25
33,11.8,25.7,21.9,0.25833333333333336
34,11.8,25.7,20.9,0.26666666666666666
35,11.9,25.7,20.1,0.275
36,11.9,25.6,19.5,0.2833333333333333
37,11.9,25.6,18.9,0.2916666666666667
38,11.9,25.6,18.5,0.3
39,12.0,25.6,18.1,0.30833333333333335
40,12.1,25.6,17.8,0.31666666666666665
41,12.1,25.5,17.6,0.325
42,12.2,25.4,17.3,0.3333333333333333
43,12.3,25.4,17.1,0.3416666666666667
44,12.4,25.4,16.9,0.35
45,12.4,25.4,16.8,0.35833333333333334
46,12.6,25.3,16.7,0.36666666666666664
47,12.6,25.3,16.6,0.375
48,12.7,25.2,16.4,0.38333333333333336
49,12.8,25.2,16.4,0.39166666666666666
50,12.8,25.2,16.3,0.4
51,12.9,25.2,16.2,0.4083333333333333
52,13.0,25.1,16.2,0.4166666666666667
53,13.1,25.1,16.1,0.425
54,13.1,25.1,16.1,0.43333333333333335
55,13.2,25.1,16.1,0.44166666666666665
56,13.3,25.1,16.0,0.45
57,13.4,25.0,16.0,0.4583333333333333
58,13.4,25.0,16.0,0.4666666666666667
59,13.5,25.0,15.9,0.475
60,13.6,25.0,15.9,0.48333333333333334
61,13.6,25.0,15.9,0.49166666666666664
62,13.7,25.0,15.9,0.5
63,13.8,25.0,15.9,0.5083333333333333
64,13.8,24.9,15.9,0.5166666666666667
65,13.9,25.0,15.9,0.525
66,13.9,24.9,15.9,0.5333333333333333
67,14.0,25.0,16.0,0.5416666666666666
68,14.0,24.9,16.1,0.55
69,14.1,24.9,16.0,0.5583333333333333
70,14.1,24.9,16.0,0.5666666666666667
71,14.1,24.9,16.1,0.575
72,14.2,24.9,16.1,0.5833333333333334
73,14.2,24.9,16.1,0.5916666666666667
74,14.2,24.9,16.1,0.6
75,14.2,24.9,16.1,0.6083333333333333
76,14.3,24.9,16.1,0.6166666666666667
77,14.3,24.9,16.1,0.625
78,14.4,24.9,16.1,0.6333333333333333
79,14.4,24.9,16.1,0.6416666666666667
80,14.4,24.9,16.1,0.65
81,14.4,24.9,16.1,0.6583333333333333
82,14.4,24.9,16.1,0.6666666666666666
83,14.4,24.9,16.2,0.675
84,14.4,24.9,16.1,0.6833333333333333
85,14.5,24.9,16.2,0.6916666666666667
86,14.5,24.9,16.2,0.7
87,14.5,24.9,16.2,0.7083333333333334
88,14.6,24.9,16.2,0.7166666666666667
89,14.5,24.9,16.2,0.725
90,14.6,24.9,16.2,0.7333333333333333
91,14.6,24.9,16.2,0.7416666666666667
92,14.6,24.8,16.2,0.75
93,14.6,24.9,16.2,0.7583333333333333
94,14.6,24.9,16.2,0.7666666666666667
95,14.6,24.9,16.2,0.775
96,14.7,24.9,16.3,0.7833333333333333
97,14.7,24.9,16.3,0.7916666666666666
98,14.7,24.9,16.3,0.8
99,14.7,24.9,16.3,0.8083333333333333
100,14.7,24.9,16.9,0.8166666666666667
101,14.8,24.9,17.2,0.825
102,14.8,24.8,17.8,0.8333333333333334
103,14.8,24.8,17.9,0.8416666666666667
104,14.8,24.8,18.0,0.85
105,14.8,24.8,18.1,0.8583333333333333
106,14.8,24.8,18.1,0.8666666666666667
107,14.8,24.8,18.2,0.875
108,14.8,24.8,18.2,0.8833333333333333
109,14.8,24.8,18.2,0.8916666666666667
110,14.8,24.8,18.3,0.9
111,14.8,24.8,18.4,0.9083333333333333
112,14.8,24.7,18.4,0.9166666666666666
113,14.9,24.7,18.4,0.925
114,14.9,24.7,18.5,0.9333333333333333
115,14.9,24.6,18.6,0.9416666666666667
116,14.9,24.6,18.6,0.95
117,14.9,24.6,18.6,0.9583333333333334
118,14.9,24.6,18.7,0.9666666666666667
119,14.9,24.6,18.8,0.975
120,14.9,24.6,18.8,0.9833333333333333
121,14.9,24.6,18.8,0.9916666666666667
122,14.9,24.7,18.9,1.0
123,14.9,24.7,18.9,1.0083333333333333
124,15.0,24.8,18.9,1.0166666666666666
125,15.0,24.8,19.0,1.025
126,15.0,24.8,19.1,1.0333333333333334
127,15.0,24.8,19.1,1.0416666666666667
128,15.0,24.8,19.1,1.05
129,15.0,24.8,19.2,1.0583333333333333
130,15.1,24.8,19.2,1.0666666666666667
131,15.1,24.8,19.3,1.075
132,15.1,24.8,19.3,1.0833333333333333
133,15.1,24.8,19.4,1.0916666666666666
134,15.1,24.8,19.4,1.1
135,15.1,24.8,19.5,1.1083333333333334
136,15.1,24.8,19.5,1.1166666666666667
137,15.1,24.8,19.6,1.125
138,15.1,24.8,19.6,1.1333333333333333
139,15.1,24.8,19.6,1.1416666666666666
140,15.1,24.8,19.6,1.15
141,15.1,24.7,19.7,1.1583333333333334
142,15.1,24.7,19.8,1.1666666666666667
143,15.1,24.7,19.8,1.175
144,15.2,24.6,19.8,1.1833333333333333
145,15.2,24.7,19.9,1.1916666666666667
146,15.2,24.6,19.9,1.2
147,15.2,24.6,19.9,1.2083333333333333
148,15.2,24.6,20.0,1.2166666666666666
149,15.2,24.7,20.0,1.225
150,15.2,24.7,20.1,1.2333333333333334
151,15.2,24.6,20.1,1.2416666666666667
152,15.2,24.7,20.1,1.25
153,15.2,24.7,20.2,1.2583333333333333
154,15.2,24.7,20.2,1.2666666666666666
155,15.2,24.7,20.2,1.275
156,15.2,24.7,20.3,1.2833333333333334
157,15.2,24.7,20.3,1.2916666666666667
158,15.2,24.7,20.4,1.3
159,15.2,24.7,20.4,1.3083333333333333
160,15.3,24.7,20.4,1.3166666666666667
161,15.3,24.7,20.4,1.325
162,15.3,24.7,20.5,1.3333333333333333
163,15.3,24.7,20.6,1.3416666666666666
164,15.3,24.7,20.6,1.35
165,15.3,24.7,20.6,1.3583333333333334
166,15.4,24.8,20.7,1.3666666666666667
167,15.4,24.7,20.7,1.375
168,15.3,24.8,20.0,1.3833333333333333
169,15.4,24.7,19.6,1.3916666666666666
170,15.4,24.7,19.3,1.4
171,15.4,24.7,19.0,1.4083333333333334
172,15.4,24.7,18.8,1.4166666666666667
173,15.4,24.6,18.6,1.425
174,15.4,24.6,18.5,1.4333333333333333
175,15.4,24.6,18.3,1.4416666666666667
176,15.4,24.6,18.2,1.45
177,15.5,24.6,18.1,1.4583333333333333
178,15.5,24.6,18.0,1.4666666666666666
179,15.5,24.5,17.9,1.475
180,15.6,24.5,17.8,1.4833333333333334
181,15.6,24.5,17.8,1.4916666666666667
182,15.6,24.4,17.7,1.5
183,15.7,24.4,17.6,1.5083333333333333
184,15.7,24.4,17.6,1.5166666666666666
185,15.8,24.4,17.6,1.525
186,15.8,24.4,17.6,1.5333333333333334
187,15.8,24.4,17.5,1.5416666666666667
188,15.9,24.4,17.5,1.55
189,15.9,24.4,17.5,1.5583333333333333
190,15.9,24.4,17.4,1.5666666666666667
191,16.0,24.4,17.4,1.575
