micros,counts,seconds,volts,amps
1,0,1e-06,0.0,0.0
1200,1,0.0012,6.25e-05,0.00625
2400,0,0.0024,0.0,0.0
3600,0,0.0036,0.0,0.0
4800,0,0.0048,0.0,0.0
6000,0,0.006,0.0,0.0
7201,0,0.007201,0.0,0.0
8400,1,0.0084,6.25e-05,0.00625
9600,0,0.0096,0.0,0.0
10800,0,0.0108,0.0,0.0
12000,1,0.012,6.25e-05,0.00625
13201,0,0.013201,0.0,0.0
14400,1,0.0144,6.25e-05,0.00625
15600,0,0.0156,0.0,0.0
16800,-1,0.0168,-6.25e-05,-0.00625
18000,0,0.018,0.0,0.0
19201,0,0.019201,0.0,0.0
20400,0,0.0204,0.0,0.0
21600,0,0.0216,0.0,0.0
22800,0,0.0228,0.0,0.0
24000,0,0.024,0.0,0.0
25201,0,0.025201,0.0,0.0
26400,0,0.0264,0.0,0.0
27600,0,0.0276,0.0,0.0
28800,1,0.0288,6.25e-05,0.00625
30000,1,0.03,6.25e-05,0.00625
31201,-1,0.031201,-6.25e-05,-0.00625
32400,0,0.0324,0.0,0.0
33600,1,0.0336,6.25e-05,0.00625
34800,0,0.0348,0.0,0.0
36000,1,0.036,6.25e-05,0.00625
37201,-1,0.037201,-6.25e-05,-0.00625
38400,1,0.0384,6.25e-05,0.00625
39600,-1,0.0396,-6.25e-05,-0.00625
40800,1,0.0408,6.25e-05,0.00625
42000,-1,0.042,-6.25e-05,-0.00625
43201,0,0.043201,0.0,0.0
44400,0,0.0444,0.0,0.0
45601,-1,0.045601,-6.25e-05,-0.00625
46800,-1,0.0468,-6.25e-05,-0.00625
48000,-1,0.048,-6.25e-05,-0.00625
49201,0,0.049201,0.0,0.0
50400,-1,0.0504,-6.25e-05,-0.00625
51600,0,0.0516,0.0,0.0
52800,0,0.0528,0.0,0.0
54000,0,0.054,0.0,0.0
55201,0,0.055201,0.0,0.0
56400,0,0.0564,0.0,0.0
57600,0,0.0576,0.0,0.0
58800,0,0.0588,0.0,0.0
60000,0,0.06,0.0,0.0
61201,0,0.061201,0.0,0.0
62400,0,0.0624,0.0,0.0
63600,0,0.0636,0.0,0.0
64800,-1,0.0648,-6.25e-05,-0.00625
66000,0,0.066,0.0,0.0
67201,0,0.067201,0.0,0.0
68400,-1,0.0684,-6.25e-05,-0.00625
69600,0,0.0696,0.0,0.0
70800,0,0.0708,0.0,0.0
72000,0,0.072,0.0,0.0
73201,-1,0.073201,-6.25e-05,-0.00625
74400,-1,0.0744,-6.25e-05,-0.00625
75600,-1,0.0756,-6.25e-05,-0.00625
76800,0,0.0768,0.0,0.0
78000,0,0.078,0.0,0.0
79201,0,0.079201,0.0,0.0
80400,-1,0.0804,-6.25e-05,-0.00625
81600,-1,0.0816,-6.25e-05,-0.00625
82800,-1,0.0828,-6.25e-05,-0.00625
84000,0,0.084,0.0,0.0
