micros,counts,seconds,volts,amps
1,-896,1e-06,-0.056,-5.6000000000000005
1200,-1113,0.0012,-0.0695625,-6.95625
2400,-1149,0.0024,-0.0718125,-7.18125
3600,-1087,0.0036,-0.0679375,-6.79375
4800,-829,0.0048,-0.051812500000000004,-5.18125
6000,-438,0.006,-0.027375,-2.7375
7201,-27,0.007201,-0.0016875,-0.16875
8400,418,0.0084,0.026125,2.6125
9600,774,0.0096,0.048375,4.8375
10800,1042,0.0108,0.065125,6.5125
12000,1146,0.012,0.07162500000000001,7.1625000000000005
13201,1133,0.013201,0.0708125,7.08125
14400,963,0.0144,0.0601875,6.01875
15600,609,0.0156,0.0380625,3.80625
16800,199,0.0168,0.0124375,1.2437500000000001
18000,-234,0.018,-0.014625,-1.4625000000000001
19201,-638,0.019201,-0.039875,-3.9875000000000003
20400,-942,0.0204,-0.058875000000000004,-5.8875
21600,-1127,0.0216,-0.0704375,-7.04375
22800,-1146,0.0228,-0.07162500000000001,-7.1625000000000005
24000,-1060,0.024,-0.06625,-6.625
25201,-772,0.025201,-0.04825,-4.825
26400,-372,0.0264,-0.02325,-2.325
27600,41,0.0276,0.0025625,0.25625000000000003
28800,483,0.0288,0.0301875,3.01875
30000,819,0.03,0.051187500000000004,5.11875
31201,1073,0.031201,0.0670625,6.70625
32400,1148,0.0324,0.07175000000000001,7.175000000000001
33600,1120,0.0336,0.07,7.000000000000001
34800,916,0.0348,0.05725,5.7250000000000005
36000,547,0.036,0.0341875,3.41875
37201,133,0.037201,0.0083125,0.83125
38400,-306,0.0384,-0.019125,-1.9124999999999999
39600,-693,0.0396,-0.043312500000000004,-4.331250000000001
40800,-983,0.0408,-0.0614375,-6.14375
42000,-1137,0.042,-0.0710625,-7.10625
43201,-1142,0.043201,-0.07137500000000001,-7.137500000000001
44400,-1029,0.0444,-0.0643125,-6.4312499999999995
45601,-711,0.045601,-0.0444375,-4.44375
46800,-308,0.0468,-0.01925,-1.925
48000,112,0.048,0.007,0.7000000000000001
49200,546,0.0492,0.034125,3.4125
50400,867,0.0504,0.0541875,5.41875
51600,1099,0.0516,0.0686875,6.8687499999999995
52800,1149,0.0528,0.0718125,7.18125
54000,1102,0.054,0.068875,6.8875
55201,864,0.055201,0.054,5.4
56400,483,0.0564,0.0301875,3.01875
57600,68,0.0576,0.00425,0.42500000000000004
58800,-375,0.0588,-0.0234375,-2.34375
60000,-743,0.06,-0.0464375,-4.64375
61201,-1144,0.061201,-0.07150000000000001,-7.15
62400,-1137,0.0624,-0.0710625,-7.10625
63600,-990,0.0636,-0.061875,-6.1875
64800,-650,0.0648,-0.040625,-4.0625
66000,-245,0.066,-0.0153125,-1.53125
67201,185,0.067201,0.0115625,1.15625
68400,606,0.0684,0.037875,3.7875
69600,910,0.0696,0.056875,5.6875
70800,1118,0.0708,0.069875,6.987500000000001
72000,1147,0.072,0.0716875,7.16875
73201,1079,0.073201,0.0674375,6.7437499999999995
74400,809,0.0744,0.0505625,5.05625
75600,414,0.0756,0.025875000000000002,2.5875000000000004
76800,3,0.0768,0.0001875,0.01875
78000,-442,0.078,-0.027625,-2.7625
79201,-791,0.079201,-0.0494375,-4.9437500000000005
80400,-1056,0.0804,-0.066,-6.6000000000000005
81600,-1149,0.0816,-0.0718125,-7.18125
